"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","DEATHCANCER","TOT","100000PER","A","2000",229.7,
"AUT","DEATHCANCER","TOT","100000PER","A","2001",222.9,
"AUT","DEATHCANCER","TOT","100000PER","A","2002",221,"B"
"AUT","DEATHCANCER","TOT","100000PER","A","2003",225.9,
"AUT","DEATHCANCER","TOT","100000PER","A","2004",223.4,
"AUT","DEATHCANCER","TOT","100000PER","A","2005",217.1,
"AUT","DEATHCANCER","TOT","100000PER","A","2006",212,
"AUT","DEATHCANCER","TOT","100000PER","A","2007",207.1,
"AUT","DEATHCANCER","TOT","100000PER","A","2008",212,
"AUT","DEATHCANCER","TOT","100000PER","A","2009",206.8,
"AUT","DEATHCANCER","TOT","100000PER","A","2010",204,
"AUT","DEATHCANCER","TOT","100000PER","A","2011",202.9,
"AUT","DEATHCANCER","TOT","100000PER","A","2012",201.9,
"AUT","DEATHCANCER","TOT","100000PER","A","2013",197.1,
"AUT","DEATHCANCER","TOT","100000PER","A","2014",197.2,
"AUT","DEATHCANCER","TOT","100000PER","A","2015",192.1,
"AUT","DEATHCANCER","TOT","100000PER","A","2016",187.3,
"BEL","DEATHCANCER","TOT","100000PER","A","2000",242.7,
"BEL","DEATHCANCER","TOT","100000PER","A","2001",239.7,
"BEL","DEATHCANCER","TOT","100000PER","A","2002",237.5,
"BEL","DEATHCANCER","TOT","100000PER","A","2003",230.4,
"BEL","DEATHCANCER","TOT","100000PER","A","2004",225.8,
"BEL","DEATHCANCER","TOT","100000PER","A","2005",226.1,
"BEL","DEATHCANCER","TOT","100000PER","A","2006",220.9,
"BEL","DEATHCANCER","TOT","100000PER","A","2007",220.5,
"BEL","DEATHCANCER","TOT","100000PER","A","2008",222,
"BEL","DEATHCANCER","TOT","100000PER","A","2009",216.4,
"BEL","DEATHCANCER","TOT","100000PER","A","2010",217.1,
"BEL","DEATHCANCER","TOT","100000PER","A","2011",213.6,
"BEL","DEATHCANCER","TOT","100000PER","A","2012",207,
"BEL","DEATHCANCER","TOT","100000PER","A","2013",205,
"BEL","DEATHCANCER","TOT","100000PER","A","2014",199.4,
"BEL","DEATHCANCER","TOT","100000PER","A","2015",197.5,
"CZE","DEATHCANCER","TOT","100000PER","A","2000",300.4,
"CZE","DEATHCANCER","TOT","100000PER","A","2001",295.5,
"CZE","DEATHCANCER","TOT","100000PER","A","2002",298.9,
"CZE","DEATHCANCER","TOT","100000PER","A","2003",299.5,
"CZE","DEATHCANCER","TOT","100000PER","A","2004",295.7,
"CZE","DEATHCANCER","TOT","100000PER","A","2005",277.9,
"CZE","DEATHCANCER","TOT","100000PER","A","2006",271.8,
"CZE","DEATHCANCER","TOT","100000PER","A","2007",261.1,
"CZE","DEATHCANCER","TOT","100000PER","A","2008",256.7,
"CZE","DEATHCANCER","TOT","100000PER","A","2009",253.1,
"CZE","DEATHCANCER","TOT","100000PER","A","2010",250.3,
"CZE","DEATHCANCER","TOT","100000PER","A","2011",239.8,
"CZE","DEATHCANCER","TOT","100000PER","A","2012",236.6,
"CZE","DEATHCANCER","TOT","100000PER","A","2013",229.8,
"CZE","DEATHCANCER","TOT","100000PER","A","2014",225.8,
"CZE","DEATHCANCER","TOT","100000PER","A","2015",220.5,
"CZE","DEATHCANCER","TOT","100000PER","A","2016",219.8,
"DNK","DEATHCANCER","TOT","100000PER","A","2000",285.5,
"DNK","DEATHCANCER","TOT","100000PER","A","2001",282.3,
"DNK","DEATHCANCER","TOT","100000PER","A","2002",271.5,
"DNK","DEATHCANCER","TOT","100000PER","A","2003",269,
"DNK","DEATHCANCER","TOT","100000PER","A","2004",271.3,
"DNK","DEATHCANCER","TOT","100000PER","A","2005",269.7,
"DNK","DEATHCANCER","TOT","100000PER","A","2006",271.9,
"DNK","DEATHCANCER","TOT","100000PER","A","2007",259.5,
"DNK","DEATHCANCER","TOT","100000PER","A","2008",256.7,
"DNK","DEATHCANCER","TOT","100000PER","A","2009",248.9,
"DNK","DEATHCANCER","TOT","100000PER","A","2010",252.5,
"DNK","DEATHCANCER","TOT","100000PER","A","2011",246.6,
"DNK","DEATHCANCER","TOT","100000PER","A","2012",246.1,
"DNK","DEATHCANCER","TOT","100000PER","A","2013",238.3,
"DNK","DEATHCANCER","TOT","100000PER","A","2014",233.4,
"DNK","DEATHCANCER","TOT","100000PER","A","2015",230.4,
"FIN","DEATHCANCER","TOT","100000PER","A","2000",198.9,
"FIN","DEATHCANCER","TOT","100000PER","A","2001",197.1,
"FIN","DEATHCANCER","TOT","100000PER","A","2002",191.3,
"FIN","DEATHCANCER","TOT","100000PER","A","2003",192.1,
"FIN","DEATHCANCER","TOT","100000PER","A","2004",189.6,
"FIN","DEATHCANCER","TOT","100000PER","A","2005",186.8,
"FIN","DEATHCANCER","TOT","100000PER","A","2006",185.4,
"FIN","DEATHCANCER","TOT","100000PER","A","2007",182.4,
"FIN","DEATHCANCER","TOT","100000PER","A","2008",180.4,
"FIN","DEATHCANCER","TOT","100000PER","A","2009",176.9,
"FIN","DEATHCANCER","TOT","100000PER","A","2010",182.5,
"FIN","DEATHCANCER","TOT","100000PER","A","2011",178.4,
"FIN","DEATHCANCER","TOT","100000PER","A","2012",176.5,
"FIN","DEATHCANCER","TOT","100000PER","A","2013",175.8,
"FIN","DEATHCANCER","TOT","100000PER","A","2014",172.3,
"FIN","DEATHCANCER","TOT","100000PER","A","2015",172.8,
"FRA","DEATHCANCER","TOT","100000PER","A","2000",236.9,"B"
"FRA","DEATHCANCER","TOT","100000PER","A","2001",235.1,
"FRA","DEATHCANCER","TOT","100000PER","A","2002",234,
"FRA","DEATHCANCER","TOT","100000PER","A","2003",231.3,
"FRA","DEATHCANCER","TOT","100000PER","A","2004",225.9,
"FRA","DEATHCANCER","TOT","100000PER","A","2005",225.1,
"FRA","DEATHCANCER","TOT","100000PER","A","2006",219.1,
"FRA","DEATHCANCER","TOT","100000PER","A","2007",215.3,
"FRA","DEATHCANCER","TOT","100000PER","A","2008",213.6,
"FRA","DEATHCANCER","TOT","100000PER","A","2009",212,
"FRA","DEATHCANCER","TOT","100000PER","A","2010",207.7,
"FRA","DEATHCANCER","TOT","100000PER","A","2011",203.5,
"FRA","DEATHCANCER","TOT","100000PER","A","2012",201.2,
"FRA","DEATHCANCER","TOT","100000PER","A","2013",196.3,
"FRA","DEATHCANCER","TOT","100000PER","A","2014",196.8,
"DEU","DEATHCANCER","TOT","100000PER","A","2000",234.8,
"DEU","DEATHCANCER","TOT","100000PER","A","2001",227.5,
"DEU","DEATHCANCER","TOT","100000PER","A","2002",227.1,
"DEU","DEATHCANCER","TOT","100000PER","A","2003",223.3,
"DEU","DEATHCANCER","TOT","100000PER","A","2004",219.5,
"DEU","DEATHCANCER","TOT","100000PER","A","2005",217.5,
"DEU","DEATHCANCER","TOT","100000PER","A","2006",213.5,
"DEU","DEATHCANCER","TOT","100000PER","A","2007",209.9,
"DEU","DEATHCANCER","TOT","100000PER","A","2008",210.5,
"DEU","DEATHCANCER","TOT","100000PER","A","2009",207,
"DEU","DEATHCANCER","TOT","100000PER","A","2010",206,
"DEU","DEATHCANCER","TOT","100000PER","A","2011",205,
"DEU","DEATHCANCER","TOT","100000PER","A","2012",201.6,
"DEU","DEATHCANCER","TOT","100000PER","A","2013",204.8,
"DEU","DEATHCANCER","TOT","100000PER","A","2014",200.9,
"DEU","DEATHCANCER","TOT","100000PER","A","2015",199.6,
"GRC","DEATHCANCER","TOT","100000PER","A","2000",213.8,
"GRC","DEATHCANCER","TOT","100000PER","A","2001",217.4,
"GRC","DEATHCANCER","TOT","100000PER","A","2002",212.7,
"GRC","DEATHCANCER","TOT","100000PER","A","2003",212.8,
