"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GGEXP","TOT","THND_USD_CAP","A","2009",22160.48,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2010",22223.77,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2011",22633.45,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2012",23802.6,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2013",24758.19,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2014",25593.4,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2015",25528.55,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2016",25599.99,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2017",25810.29,
"AUT","GGEXP","TOT","PC_GDP","A","1995",55.8060741611047,
"AUT","GGEXP","TOT","PC_GDP","A","1996",55.6243949300562,
"AUT","GGEXP","TOT","PC_GDP","A","1997",52.27210394706,
"AUT","GGEXP","TOT","PC_GDP","A","1998",52.2242426288898,
"AUT","GGEXP","TOT","PC_GDP","A","1999",52.0615197660953,
"AUT","GGEXP","TOT","PC_GDP","A","2000",51.0329883250733,
"AUT","GGEXP","TOT","PC_GDP","A","2001",51.3557052104913,
"AUT","GGEXP","TOT","PC_GDP","A","2002",51.0543046642687,
"AUT","GGEXP","TOT","PC_GDP","A","2003",51.2709905691504,
"AUT","GGEXP","TOT","PC_GDP","A","2004",53.7051142847075,
"AUT","GGEXP","TOT","PC_GDP","A","2005",51.1555228390606,
"AUT","GGEXP","TOT","PC_GDP","A","2006",50.3799335721589,
"AUT","GGEXP","TOT","PC_GDP","A","2007",49.2441121401072,
"AUT","GGEXP","TOT","PC_GDP","A","2008",49.8739846837189,
"AUT","GGEXP","TOT","PC_GDP","A","2009",54.1448005065337,
"AUT","GGEXP","TOT","PC_GDP","A","2010",52.8397855413296,
"AUT","GGEXP","TOT","PC_GDP","A","2011",50.8969148481795,
"AUT","GGEXP","TOT","PC_GDP","A","2012",51.213027812319,
"AUT","GGEXP","TOT","PC_GDP","A","2013",51.6476665446164,
"AUT","GGEXP","TOT","PC_GDP","A","2014",52.4309201666404,
"AUT","GGEXP","TOT","PC_GDP","A","2015",51.1335972493461,
"AUT","GGEXP","TOT","PC_GDP","A","2016",50.2712641863538,
"AUT","GGEXP","TOT","PC_GDP","A","2017",49.1509834963944,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2009",20579.08,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2010",21384.31,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2011",22597.79,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2012",23790.44,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2013",24422.28,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2014",24718.76,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2015",24531.63,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2016",24815.72,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2017",25107.25,
"BEL","GGEXP","TOT","PC_GDP","A","1995",52.3862112375352,
"BEL","GGEXP","TOT","PC_GDP","A","1996",52.6665444118432,
"BEL","GGEXP","TOT","PC_GDP","A","1997",51.2366535719328,
"BEL","GGEXP","TOT","PC_GDP","A","1998",50.5605792325118,
"BEL","GGEXP","TOT","PC_GDP","A","1999",50.0684202337179,
"BEL","GGEXP","TOT","PC_GDP","A","2000",49.0514363609607,
"BEL","GGEXP","TOT","PC_GDP","A","2001",49.1880006802404,
"BEL","GGEXP","TOT","PC_GDP","A","2002",49.5064986434121,
"BEL","GGEXP","TOT","PC_GDP","A","2003",50.7144335568831,
"BEL","GGEXP","TOT","PC_GDP","A","2004",48.9330148089724,
"BEL","GGEXP","TOT","PC_GDP","A","2005",51.6278370930086,
"BEL","GGEXP","TOT","PC_GDP","A","2006",48.4509528347488,
"BEL","GGEXP","TOT","PC_GDP","A","2007",48.2491061391739,
"BEL","GGEXP","TOT","PC_GDP","A","2008",50.2807528203083,
"BEL","GGEXP","TOT","PC_GDP","A","2009",54.1502392188109,
"BEL","GGEXP","TOT","PC_GDP","A","2010",53.3413128713875,
"BEL","GGEXP","TOT","PC_GDP","A","2011",54.5176906846444,
"BEL","GGEXP","TOT","PC_GDP","A","2012",55.8655855830747,
"BEL","GGEXP","TOT","PC_GDP","A","2013",55.8275250178544,
"BEL","GGEXP","TOT","PC_GDP","A","2014",55.2739331934636,
"BEL","GGEXP","TOT","PC_GDP","A","2015",53.7368886168833,
"BEL","GGEXP","TOT","PC_GDP","A","2016",53.0490830647894,
"BEL","GGEXP","TOT","PC_GDP","A","2017",52.1400491148735,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2009",12141.36,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2010",12001.96,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2011",12392.2,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2012",12921.97,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2013",12992.09,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2014",13691.35,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2015",13960.21,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2016",13706.15,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2017",14165.45,
"CZE","GGEXP","TOT","PC_GDP","A","1995",52.9287142904869,
"CZE","GGEXP","TOT","PC_GDP","A","1996",41.7732747744924,
"CZE","GGEXP","TOT","PC_GDP","A","1997",41.9540772696525,
"CZE","GGEXP","TOT","PC_GDP","A","1998",42.0802100644385,
"CZE","GGEXP","TOT","PC_GDP","A","1999",41.3626903470675,
"CZE","GGEXP","TOT","PC_GDP","A","2000",40.9646493874698,
"CZE","GGEXP","TOT","PC_GDP","A","2001",43.2036799310363,
"CZE","GGEXP","TOT","PC_GDP","A","2002",44.8127715684856,
"CZE","GGEXP","TOT","PC_GDP","A","2003",49.3450712394258,
"CZE","GGEXP","TOT","PC_GDP","A","2004",42.5549332493917,
"CZE","GGEXP","TOT","PC_GDP","A","2005",42.2731138881649,
"CZE","GGEXP","TOT","PC_GDP","A","2006",41.3565482558348,
