"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2000",4098.4,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2001",3917.7,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2002",3766.4,"B"
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2003",3770,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2004",3643.9,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2005",3542.9,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2006",3326.9,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2007",3271.1,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2008",3175.1,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2009",3272.4,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2010",3219.7,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2011",3068.2,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2012",2935.2,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2013",2841.6,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2014",2794.1,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2015",2753.6,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2016",2657.2,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2000",4382.4,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2001",4282.2,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2002",4140.4,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2003",3982.5,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2004",3781.2,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2005",3745.4,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2006",3624.7,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2007",3676.6,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2008",3593.8,
