"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2000",4.8,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2001",4.8,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2002",4.1,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2003",4.5,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2004",4.5,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",4.2,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",3.6,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",3.7,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",3.7,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",3.8,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",3.9,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.6,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.2,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",3.1,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.1,
"AUT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",3.1,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2000",4.8,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2001",4.5,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2002",4.4,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2003",4.1,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2004",3.9,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",3.7,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",4,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",3.9,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",3.8,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",3.5,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",3.6,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.4,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.8,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",3.5,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3.4,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.3,
"BEL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",3.2,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2000",4.1,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2001",4,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2002",4.1,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2003",3.9,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2004",3.7,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",3.4,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",3.3,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",3.1,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",2.8,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",2.9,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",2.7,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",2.7,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",2.6,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",2.5,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.4,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",2.5,
"CZE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",2.8,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2000",5.3,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2001",4.9,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2002",4.4,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2003",4.4,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2004",4.4,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",4.4,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",3.5,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",4,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",4,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",3.1,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",3.4,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.5,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.4,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",3.5,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",4,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.7,
"DNK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",3.1,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2000",3.8,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2001",3.2,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2002",3,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2003",3.1,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2004",3.3,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",3,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",2.8,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",2.7,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",2.6,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",2.6,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",2.3,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",2.4,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",2.4,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",1.8,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.2,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",1.7,
"FIN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",1.9,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2000",4.5,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2001",4.6,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2002",4.2,"B"
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2003",4.2,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2004",4,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",3.8,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",3.8,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",3.8,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",3.8,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",3.9,"B"
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",3.6,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.5,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.5,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",3.6,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3.5,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.7,
"FRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",3.7,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2000",4.4,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2001",4.3,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2002",4.2,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2003",4.2,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2004",4.1,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2005",3.9,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2006",3.8,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2007",3.9,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2008",3.5,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2009",3.5,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2010",3.4,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.6,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.3,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",3.3,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3.2,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.3,
"DEU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2016",3.4,
"GRC","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2000",5.9,
"GRC","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2001",5.1,
"GRC","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2002",5.1,
"GRC","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2003",4,
